word,countrycode,year,month,day,hour,minute,second,recognized,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196
200,232,2017,03,26,17,00,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,2,1,0,0,0,0,0,0,1,3,4,2,2,2,3,4,1,0,0,0,0,0,4,3,1,0,0,0,0,3,4,2,0,0,0,0,4,2,0,0,0,0,0,0,1,4,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,0,0,2,4,0,0,0,0,3,4,3,0,0,0,2,4,4,2,0,0,0,0,0,1,4,3,2,4,4,2,0,0,0,0,0,0,0,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
200,10,2017,03,24,19,07,35,1,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,2,3,3,4,4,4,4,4,4,4,2,0,0,0,2,4,0,0,0,0,0,0,1,3,4,0,0,0,0,4,1,0,0,0,0,0,0,1,4,1,0,0,0,4,2,0,0,0,0,0,0,0,4,2,0,0,0,3,2,0,0,0,0,0,0,0,3,2,0,0,1,4,1,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,0,2,4,0,0,4,2,0,0,0,0,0,0,0,0,1,4,0,0,4,1,0,0,0,0,0,0,0,0,2,4,0,0,3,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
200,235,2017,03,04,00,04,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,1,4,3,3,4,4,4,4,4,4,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,3,2,0,1,4,3,0,0,0,0,0,0,1,3,4,2,0,0,1,4,4,4,3,2,2,3,4,4,2,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,13,2017,03,27,12,08,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,1,0,0,0,1,4,3,1,0,0,0,0,1,3,4,0,0,0,4,3,0,0,0,0,0,0,0,0,4,3,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,4,2,0,4,3,1,0,0,0,0,0,0,0,1,4,1,0,1,3,4,3,1,0,0,0,2,2,4,3,0,0,0,0,1,4,4,4,4,4,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,55,2017,03,26,17,32,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,0,0,0,0,0,0,2,4,4,4,4,2,2,4,4,4,3,0,0,0,0,1,3,4,1,0,0,0,0,2,4,2,0,0,0,2,3,1,0,0,0,0,0,0,2,3,1,0,0,2,2,0,0,0,0,0,0,0,1,3,4,1,0,2,3,0,0,0,0,0,0,0,0,0,4,2,0,1,4,4,1,0,0,0,0,0,0,1,4,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,1,4,3,2,2,4,2,3,4,1,0,0,0,0,0,1,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,156,2017,03,10,19,09,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,1,4,3,3,4,4,2,0,0,0,0,0,0,2,4,3,0,0,1,2,4,4,2,1,0,1,4,4,2,0,0,0,0,0,0,2,3,4,2,2,4,3,0,0,0,0,0,0,0,0,1,4,1,0,1,4,3,0,0,0,0,0,0,0,3,3,0,0,0,1,4,3,0,0,0,0,0,2,4,1,0,0,0,0,1,4,2,0,0,0,1,4,2,0,0,0,0,0,0,2,4,2,2,2,4,3,0,0,0,0,0,0,0,0,3,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,03,29,20,07,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,2,0,0,0,0,0,0,3,3,0,0,0,1,2,4,4,1,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,2,4,1,0,0,0,0,0,0,0,0,4,1,1,4,2,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,108,2017,03,17,16,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,2,4,4,4,3,2,2,1,0,0,0,0,0,0,3,4,4,4,2,2,2,1,1,2,1,2,2,3,4,4,2,2,0,0,0,0,2,4,4,4,4,4,1,0,0,0,0,0,0,0,0,2,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,03,10,16,05,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,1,4,3,4,4,2,2,2,2,1,0,0,0,1,4,3,1,2,2,2,2,2,3,4,1,0,0,2,4,0,0,0,0,0,0,0,0,3,4,3,0,2,4,0,0,0,0,0,0,0,0,0,1,4,1,2,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,4,2,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,2,4,0,0,0,1,4,3,1,0,0,0,1,2,4,3,0,0,0,0,1,4,3,4,4,4,4,3,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,03,22,19,44,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,3,0,0,0,0,0,1,2,3,4,4,4,3,3,4,3,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,2,3,4,4,3,2,0,1,3,2,0,0,0,3,4,3,4,2,0,0,0,0,3,2,0,0,0,4,3,1,2,4,1,0,0,0,4,2,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,4,4,4,4,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,13,2017,03,29,11,57,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,4,4,4,3,0,0,0,0,0,0,0,0,3,2,0,0,1,4,3,0,0,0,0,0,0,3,4,0,0,0,0,1,4,3,0,0,0,1,4,4,1,0,0,0,0,0,1,4,2,0,0,2,3,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,0,0,0,0,0,2,2,0,0,1,4,3,0,0,0,0,0,0,0,3,2,0,0,0,1,4,2,0,0,0,0,1,4,4,1,0,0,0,0,2,4,1,0,0,0,3,3,0,0,0,0,0,0,0,3,4,4,4,4,4,1,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0
200,181,2017,03,19,18,50,28,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,1,4,3,4,1,0,0,0,0,0,0,0,0,1,4,2,0,3,4,1,0,0,0,0,0,0,1,4,3,0,0,0,3,4,1,0,0,0,0,0,2,3,0,0,0,0,0,3,3,0,0,0,0,0,2,4,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,2,4,1,0,0,0,0,0,4,3,1,0,0,0,1,4,2,0,0,0,0,0,1,3,4,1,0,0,4,3,0,0,0,0,0,0,0,0,3,4,1,2,4,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
200,103,2017,03,08,07,36,46,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,3,4,4,2,0,0,0,0,0,0,0,2,4,3,1,0,2,4,4,1,0,0,0,0,0,4,2,0,0,0,0,0,3,4,3,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,1,4,4,0,0,0,0,0,3,4,1,0,0,0,4,3,0,0,0,0,0,0,0,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0
200,74,2017,03,25,12,55,15,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,4,4,4,4,4,4,4,4,3,0,0,0,0,4,3,2,0,0,0,0,0,2,4,1,0,0,0,4,1,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,4,1,0,0,0,0,0,0,0,0,3,2,0,0,4,2,0,0,0,0,0,0,0,0,2,4,0,0,4,2,0,0,0,0,0,0,0,0,2,4,0,0,3,2,0,0,0,0,0,0,0,0,2,4,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,1,4,3,0,0,0,4,2,0,0,0,0,1,3,4,3,0,0,0,0,2,4,4,4,4,4,4,4,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
200,235,2017,03,15,15,00,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1,2,2,2,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,01,24,19,50,16,1,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,1,4,4,3,4,4,3,1,0,0,0,0,0,1,4,3,0,0,0,2,3,4,2,0,0,0,0,4,3,0,0,0,0,0,0,2,4,3,0,0,0,4,2,0,0,0,0,0,0,0,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,4,3,0,0,0,0,0,0,0,0,2,4,0,0,1,4,1,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,0,0,0,0,0,3,4,0,0,0,0,0,3,4,2,0,0,0,2,4,1,0,0,0,0,0,0,2,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0
200,235,2017,01,24,22,23,26,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200,235,2017,03,17,15,09,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,0,0,4,3,2,3,4,4,2,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,4,1,0,1,4,3,0,0,0,0,0,0,0,0,4,2,0,2,4,0,0,0,0,0,0,0,0,0,2,3,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,4,1,0,0,0,0,0,0,0,0,3,4,1,0,3,4,2,0,0,0,0,0,0,1,4,1,0,0,0,2,4,4,3,2,2,2,2,4,3,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,03,28,12,32,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,2,0,0,0,0,0,1,4,2,2,2,2,2,2,4,2,0,0,0,0,3,3,0,0,0,0,0,0,2,4,0,0,0,1,4,1,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,0,0,0,0,0,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,2,1,4,2,0,0,0,0,0,0,0,0,0,4,2,0,4,4,0,0,0,0,0,0,0,0,2,4,0,0,2,4,2,0,0,0,0,0,0,0,3,2,0,0,0,3,4,1,0,0,0,0,0,0,4,1,0,0,0,0,3,4,2,2,2,2,2,2,4,0,0,0,0,0,0,3,4,4,4,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,158,2017,03,02,07,03,19,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,1,0,0,0,0,0,1,4,4,1,0,0,1,3,3,0,0,0,0,1,4,3,0,0,0,0,0,1,4,1,0,0,0,2,3,0,0,0,0,0,0,0,3,4,1,0,2,4,1,0,0,0,0,0,0,0,0,3,4,1,1,4,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,2,0,0,0,0,0,0,0,0,1,4,2,0,2,4,3,0,0,0,0,0,0,1,4,3,0,0,0,1,4,3,2,0,0,0,1,4,3,0,0,0,0,0,1,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
200,235,2017,03,22,04,14,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,4,3,1,0,0,0,0,3,4,4,4,2,2,2,1,3,4,2,0,0,2,4,2,0,0,0,0,0,0,0,2,4,3,0,2,4,0,0,0,0,0,0,0,0,0,1,4,2,2,4,0,0,0,0,0,0,0,0,0,2,4,1,2,4,1,0,0,0,0,0,0,0,0,2,3,0,0,3,4,0,0,0,0,0,0,0,0,2,3,0,0,0,4,4,1,0,0,0,0,0,0,2,4,0,0,0,0,3,4,3,2,2,2,2,2,4,4,1,0,0,0,0,1,2,4,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,214,2017,01,28,17,44,2,1,0,0,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,1,2,4,4,3,2,2,1,0,0,0,0,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,0,0,0,0,0,0,0,2,4,1,0,0,1,4,1,0,0,0,0,0,1,4,2,0,0,0,0,3,4,4,4,4,2,2,4,3,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0
200,235,2017,03,14,16,07,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,4,4,4,2,0,0,0,0,0,0,0,0,3,4,4,4,4,4,1,0,0,0,0,0,0,0,4,3,4,2,0,4,3,4,4,4,1,0,0,1,4,4,4,3,2,4,4,4,2,4,2,0,1,4,4,4,4,4,4,4,4,4,4,4,0,0,3,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,0,2,4,4,3,4,4,4,4,4,3,2,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,234,2017,03,21,18,46,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,2,1,0,0,0,0,0,0,0,3,3,0,0,2,3,4,4,3,2,2,1,0,1,4,1,0,0,0,0,0,2,2,2,4,2,0,3,3,0,0,0,0,0,0,0,0,0,4,2,1,4,1,0,0,0,0,0,0,0,0,1,4,1,2,4,0,0,0,0,0,0,0,0,1,4,3,0,0,4,2,0,0,0,0,0,0,0,4,3,0,0,0,2,4,0,0,0,0,0,0,1,3,3,0,0,0,0,4,2,0,0,0,0,1,4,3,1,0,0,0,0,2,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,235,2017,01,25,19,23,49,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,0,0,0,0,0,0,0,0,0,1,4,1,1,4,4,1,0,0,0,0,0,0,1,4,3,0,0,0,3,4,1,0,0,0,0,0,4,3,0,0,0,0,0,3,4,1,0,0,0,0,4,1,0,0,0,0,0,0,3,4,3,0,0,2,4,0,0,0,0,0,0,0,0,1,4,1,0,3,2,0,0,0,0,0,0,0,0,2,4,0,0,4,2,0,0,0,0,0,0,0,0,2,3,0,0,4,1,0,0,0,0,0,0,0,0,4,2,0,0,3,4,0,0,0,0,0,0,0,1,4,1,0,0,0,4,3,1,0,0,0,0,0,4,3,0,0,0,0,0,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0
200,235,2017,03,23,21,30,50,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,2,1,0,0,0,0,0,0,1,4,1,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,1,4,1,0,0,0,0,0,0,2,4,0,0,0,0,3,3,0,0,0,0,0,0,3,4,0,0,0,0,1,4,1,0,0,0,0,3,4,1,0,0,0,0,0,3,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0
200,31,2017,01,26,15,24,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,2,0,0,0,0,3,4,3,0,0,0,0,0,2,4,3,0,0,2,4,1,0,0,0,0,0,0,0,1,4,4,1,2,4,0,0,0,0,0,0,0,0,0,0,3,2,2,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,2,1,4,2,0,0,0,0,0,0,0,0,0,3,2,0,1,4,1,0,0,0,0,0,0,0,3,4,1,0,0,3,4,3,2,0,0,0,0,3,4,1,0,0,0,0,2,3,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,39,2017,01,24,20,46,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,0,0,0,0,0,0,0,0,3,4,2,2,4,4,4,4,4,2,0,0,0,2,4,1,0,0,0,0,0,1,2,4,3,0,0,2,4,0,0,0,0,0,0,0,0,1,4,3,0,0,4,1,0,0,0,0,0,0,0,0,1,4,2,0,4,3,0,0,0,0,0,0,0,0,0,4,2,0,1,4,3,0,0,0,0,0,0,0,0,4,2,0,0,1,4,1,0,0,0,0,0,0,0,4,2,0,0,0,4,2,0,0,0,0,0,0,0,4,2,0,0,0,2,2,0,0,0,0,0,0,2,4,1,0,0,0,2,4,2,2,1,0,0,1,4,3,0,0,0,0,1,2,2,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
200,235,2017,03,16,22,04,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,3,0,0,0,0,0,0,3,4,2,2,2,2,2,4,4,1,0,0,0,2,4,1,0,0,0,0,0,0,3,4,2,0,1,4,2,0,0,0,0,0,0,0,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,2,4,0,0,2,4,3,1,0,0,0,0,0,1,4,2,0,0,0,1,3,4,3,2,4,4,4,4,3,0,0,0,0,0,0,1,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,20,2017,01,31,13,23,50,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,2,4,4,4,4,4,3,1,0,0,0,0,4,4,4,4,1,0,0,1,3,4,3,0,0,0,2,2,3,4,4,0,0,0,0,1,4,0,0,0,0,2,4,4,2,0,0,0,0,0,4,1,0,1,4,4,2,0,0,0,0,0,0,0,4,2,1,4,3,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,0,0,0,1,4,1,0,4,2,0,0,0,0,0,0,0,0,3,3,0,0,2,3,0,0,0,0,0,0,0,0,4,2,0,0,1,4,4,2,1,0,0,1,2,4,4,0,0,0,0,1,2,4,4,4,4,4,3,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
200,220,2017,03,08,07,05,5,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,3,0,0,0,0,0,0,0,1,4,3,0,0,1,4,1,0,0,0,0,0,1,4,3,0,0,0,0,4,2,0,0,0,0,0,4,3,0,0,0,0,0,4,2,0,0,0,0,2,3,0,0,0,0,0,0,4,2,0,0,0,0,2,4,0,0,0,0,0,0,3,2,0,0,0,0,1,4,0,0,0,0,0,1,4,2,0,0,0,0,0,4,2,0,0,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,4,3,0,0,0,0,0,0,2,3,0,0,0,0,1,4,2,0,0,0,0,0,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
200,235,2017,01,31,17,24,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,1,0,0,0,0,3,4,3,1,0,0,0,0,3,4,3,0,1,4,4,1,0,0,0,0,0,0,0,1,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,4,2,1,0,0,0,0,0,0,1,2,4,2,0,1,3,4,4,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
